,LOCATION,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.724531,40.718208,41.10152,42.025038,42.82385,42.926277,44.593238,44.89852,45.527215,44.41241,44.63495,44.560964,44.337984,44.196121,43.857571,43.655279,44.113521,42.893912,42.705915,42.385666,42.255465,42.302702,42.343174,42.498076,42.969328
1,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.293966,0.683869,0.776094,0.731127,0.736237,0.74394,0.730181,0.714473,0.694473,0.672245,0.664171,0.64242,0.825842,0.894859,1.031495,1.103322,1.217367,1.362421,1.64653,1.887629,2.255324,2.733128,3.218154,3.940967,5.451964,6.866548,9.294966,10.256822,14.228226,21.096103,29.160147,43.135409
2,AUS,0.700946,0.701324,0.68799,0.698321,0.708346,0.705945,0.70894,0.711321,0.70353,0.70688,0.686037,0.694715,0.713834,0.765748,0.8257,0.860821,0.922783,0.953008,0.963085,0.975888,0.983053,0.986677,1.041494,1.087682,1.111634,1.138866,1.192512,1.243406,1.301244,1.350266,1.365074,1.347968,1.328112,1.312347,1.300571,1.310418,1.311735,1.307666,1.299857,1.29695,1.311512,1.326073,1.33649,1.353236,1.365806,1.388356,1.403522,1.426868,1.479073,1.442545,1.503317,1.511052,1.540115,1.447123,1.452489,1.473691,1.450156,1.477553,1.470403,1.482686,1.446009,1.438979
3,AUT,0.96508,1.006974,1.02202,1.043092,1.058072,1.087932,1.084075,1.088047,1.067039,1.042291,1.016424,1.027424,1.059699,1.085508,1.090505,1.062495,1.063734,1.053572,1.043327,1.003036,0.971276,0.946915,0.939575,0.935561,0.947679,0.945847,0.954536,0.954201,0.935762,0.927158,0.920512,0.922828,0.933657,0.937184,0.940758,0.938151,0.934074,0.931504,0.922763,0.923906,0.90762,0.923168,0.899797,0.888168,0.878078,0.881939,0.860024,0.868179,0.854424,0.843731,0.84219,0.831374,0.813648,0.797081,0.798797,0.798813,0.776931,0.775009,0.765403,0.770813,0.763921,0.770831
4,BEL,0.861825,0.863464,0.857953,0.871225,0.895709,0.9168,0.922523,0.925407,0.905811,0.89597,0.88772,0.892159,0.909566,0.923261,0.953443,0.978715,0.997935,1.009817,0.985188,0.950698,0.907608,0.871764,0.883194,0.897609,0.913472,0.926447,0.933557,0.926372,0.914216,0.921933,0.91366,0.909195,0.919379,0.933954,0.933578,0.925567,0.927866,0.92748,0.935599,0.931348,0.900114,0.89263,0.8733,0.876113,0.888326,0.891788,0.874269,0.878973,0.86694,0.85011,0.836572,0.831911,0.822137,0.806166,0.800214,0.799998,0.781011,0.775634,0.766407,0.766896,0.745495,0.742723
5,BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01961,0.038197,0.398182,0.518743,0.525165,0.53603,0.55596,0.55829,0.559829,0.580245,0.596498,0.618228,0.656434,0.677676,0.693197,0.676937,0.701071,0.692818,0.680005,0.661229,0.678702,0.666662,0.676279,0.6801,0.704525,0.704232,0.720483
6,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2e-05,5.8e-05,0.000605,0.012385,0.283775,0.539155,0.62718,0.664201,0.689152,0.734012,0.757989,0.80226,0.867348,0.970414,1.018306,1.060716,1.098672,1.138643,1.215291,1.295865,1.388336,1.473216,1.605704,1.701276,1.813201,1.988814,2.133082,2.181557,2.226397,2.279669,2.368305,2.526131
7,CAN,0.953324,0.94867,0.941626,0.948107,0.957314,0.963874,0.977764,0.992304,0.980698,0.97448,0.936749,0.93598,0.94941,0.986757,1.042692,1.057832,1.095707,1.101754,1.099507,1.116939,1.125443,1.134059,1.162604,1.183495,1.182673,1.184693,1.197407,1.224491,1.236476,1.245778,1.241556,1.23759,1.227694,1.214689,1.206599,1.208429,1.20741,1.200565,1.185044,1.19081,1.227599,1.220464,1.229333,1.225714,1.232662,1.213644,1.205365,1.212099,1.23439,1.202244,1.22182,1.239904,1.244607,1.224,1.230358,1.248042,1.207045,1.212304,1.206524,1.246847,1.245722,1.253066
8,CHE,2.189697,2.25672,2.334714,2.412528,2.495978,2.520322,2.552365,2.591622,2.547597,2.484646,2.369927,2.461999,2.591307,2.656668,2.606311,2.555511,2.48833,2.34881,2.273736,2.141293,2.017049,1.947008,1.968458,1.939099,1.941943,1.925157,1.944419,1.939119,1.925311,1.916753,1.932648,1.970548,1.967576,1.966647,1.948334,1.922398,1.887059,1.843691,1.827589,1.802836,1.788887,1.769144,1.70976,1.715249,1.691806,1.686548,1.598848,1.532132,1.493049,1.470062,1.466062,1.397498,1.354072,1.312477,1.281761,1.235788,1.201964,1.187726,1.178866,1.177269,1.139775,1.104516
9,CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,93.672605,113.88157,133.600996,144.494628,168.867424,198.002684,216.379009,233.858165,257.820204,276.068909,275.731798,279.35646,279.127145,281.522416,287.045251,291.559246,296.823184,304.406164,319.718102,333.69,318.574722,323.878962,340.400833,354.325885,359.83702,348.016847,347.228507,349.680536,367.213907,391.178861,397.250703,397.689401,396.229413,408.021643,417.724619,430.349555
